"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000012983",NA,NA,NA,NA,NA,7.69201996854794e-07,2.22779357449793e-07,NA,NA,2.40711218323594e-07,NA,NA
"ENSG00000005381",5.33662576947652e-06,NA,NA,4.98831057425255e-05,5.84260339868169e-05,3.50556081726242e-06,6.0398534347039e-07,5.23447038445848e-05,8.70091722352346e-06,NA,3.95898355714741e-05,3.82876061614025e-05
"ENSG00000007237",NA,NA,4.62965606840217e-05,NA,NA,NA,NA,NA,NA,NA,NA,6.2398781927374e-07
"ENSG00000015676",4.14405067991569e-07,6.32844295942614e-07,NA,NA,4.54796568270659e-07,1.73703681483069e-06,5.35123521591257e-06,4.21946540989797e-07,2.23668961853433e-06,NA,1.9424827643723e-06,1.58814562666058e-06
"ENSG00000014216",0.000189187623585242,0.000171126389299005,0.000190352225181329,0.000256124999168894,0.00101033590015103,0.000328128944109094,0.000286198412853497,0.000399275613810847,0.00019137504595777,0.000521029547780033,0.000429540887377269,0.000900948191818766
"ENSG00000006451",6.83267939331886e-06,4.64157251715749e-05,2.03669927125251e-05,2.78467734762287e-05,7.63069578913383e-05,4.42176640753721e-05,6.79859334798517e-05,2.16771052367078e-05,6.87893530473479e-05,9.63693986561116e-05,1.72634713350509e-05,0.00016435830583039
"ENSG00000013375",NA,NA,8.2853518095719e-05,6.12801542781105e-05,0.000111022090843034,NA,1.90737167960082e-05,4.604833184614e-06,1.01293922954035e-05,0.000146592775975387,NA,5.63752554779805e-06
"ENSG00000002586",NA,NA,3.75957510374053e-06,5.23527580336006e-06,NA,0.000229579910900708,0.000305249923657076,NA,NA,1.4502440789243e-05,4.04166418603495e-05,0.000113999149694514
"ENSG00000008283",NA,NA,NA,NA,5.57342821697265e-06,3.6286407463919e-06,NA,NA,2.26387894824957e-06,2.36391096974035e-05,NA,3.88592387011464e-06
"ENSG00000005156",NA,NA,3.96285162487492e-06,NA,5.48950684563135e-07,NA,9.695841402321e-06,5.27466941718726e-07,NA,2.40122998552509e-06,2.61056809506956e-07,NA
"ENSG00000013374",NA,NA,3.38194058884561e-06,8.33369588415642e-07,4.06440159384695e-06,5.45085233453337e-07,9.88055370321826e-06,NA,1.2123960562489e-06,9.04646795202997e-07,8.18721708669244e-07,2.3983396644425e-06
"ENSG00000004059",1.21449345304078e-05,9.85986155643064e-05,6.81591359085918e-05,3.9599967637064e-05,0.000193398864104799,6.6426482234788e-05,0.000172912253170866,1.24023597045976e-05,4.03058689965014e-05,0.000182119418519499,9.07772397332762e-05,0.000228330948631825
"ENSG00000011638",NA,NA,NA,NA,NA,NA,NA,NA,2.15480796898654e-06,3.58762589472583e-06,NA,NA
"ENSG00000005448",NA,NA,6.22201064799234e-06,NA,NA,2.38685421583677e-06,1.38398696894228e-06,NA,NA,NA,NA,NA
"ENSG00000011028",9.95841881098059e-07,1.34789227405575e-06,2.46276507987755e-05,4.07443407272783e-06,3.79006992002517e-06,1.35283230044665e-05,2.03598415129165e-05,6.6347095140197e-06,1.01018729699346e-06,4.09469435724719e-06,4.83420931647902e-06,7.64402435302733e-06
"ENSG00000006744",NA,9.06856376375843e-07,3.91918012451516e-06,2.86315847657021e-07,2.56191259029301e-06,NA,6.67996475429253e-06,NA,5.88615879247973e-06,NA,9.37267970451338e-07,NA
"ENSG00000005022",1.12091186692702e-05,0.00133019558790748,0.000154268173640146,7.52073094462612e-05,0.000325262444796986,8.49273480553049e-05,0.000135055022001078,7.6579181998319e-06,6.49914578629194e-05,0.000219637440952688,3.37629397686673e-05,0.000112595568233011
"ENSG00000006459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000008256",NA,NA,NA,NA,NA,6.17095703969078e-07,NA,NA,6.58879233945332e-07,NA,NA,NA
"ENSG00000008294",NA,1.40845684895974e-06,1.15916132866753e-06,5.66862762623992e-07,7.78695933979237e-07,4.23028898034761e-07,9.60758304365364e-07,1.78005411749037e-07,8.06968698119307e-07,1.87550062839887e-06,5.99835154723852e-07,1.20295471578966e-06
"ENSG00000011052",1.84168442789815e-05,0.000262276017771778,0.000369778623110713,9.15623332260568e-05,0.000304762293350821,0.000196327911199685,0.000570805528770655,2.97674760582964e-05,9.29289001211622e-05,0.000706269137669911,3.29158288129274e-05,NA
"ENSG00000013275",1.65616322526068e-05,1.90597435112415e-05,0.000121763007088532,1.00229878522956e-05,8.29160406911993e-05,3.23533728715549e-05,4.9862354381275e-05,5.73521907740101e-06,3.01128909218085e-05,0.000104468677769981,9.20176947473493e-05,NA
"ENSG00000004468",NA,NA,NA,NA,3.8650930519385e-05,NA,4.5898877543418e-06,NA,NA,2.60632534314783e-06,4.52920999459567e-06,NA
"ENSG00000002834",5.54802357709818e-05,0.000119568441355754,0.000387565435376087,0.000152433143917441,0.000488026467438249,0.000269963309779805,0.000594106506933668,0.000131530011171021,0.00023478607681997,0.000312187867394095,0.000482706216625159,0.000147970269570643
"ENSG00000009844",NA,3.60768373977507e-06,3.65910603648603e-05,4.61206221358927e-06,5.33896164615891e-06,1.01436074268268e-05,5.57497439401137e-05,NA,8.76242099007662e-07,4.15447504879643e-05,2.38619991005827e-05,3.30586857366109e-05
"ENSG00000012822",NA,NA,1.43975989839316e-06,NA,NA,NA,NA,NA,NA,6.31968740485355e-07,NA,NA
"ENSG00000002330",1.74502543702684e-06,5.07125690446114e-06,7.30393278640511e-06,NA,9.45739044283126e-06,1.2926020310831e-06,2.79992597802962e-06,NA,6.4181643812547e-06,1.64844644394631e-05,NA,7.39330697897886e-06
"ENSG00000000457",NA,NA,6.75298501478733e-07,4.70420651451069e-07,3.7455494832362e-06,NA,NA,NA,3.05991816649788e-07,7.89425293045308e-06,NA,NA
"ENSG00000005844",NA,2.78083603796046e-06,NA,2.64405693096286e-07,NA,NA,1.18365349829605e-06,NA,NA,NA,1.36862912586102e-05,8.67439315376273e-07
"ENSG00000004799",NA,NA,NA,NA,9.49412988906441e-07,NA,NA,NA,2.40069603398051e-06,NA,NA,2.69586904492582e-06
"ENSG00000010671",NA,NA,NA,NA,2.45627369918697e-06,NA,NA,NA,NA,NA,2.28410340383269e-06,NA
"ENSG00000008710",NA,6.48347019945872e-07,7.98557246432562e-07,1.94833495384845e-07,2.49092335715108e-06,6.79166284007321e-07,8.11051886877491e-07,NA,1.67907768934489e-07,NA,5.36432916380204e-07,NA
"ENSG00000011485",7.83656950787341e-06,2.55213514407179e-05,1.16344794272498e-05,1.16499121115387e-05,4.26976641657605e-05,5.2949081150607e-05,9.42311236821216e-05,1.88421006776942e-05,2.92784664858084e-05,3.38531884646339e-05,7.28359464602973e-06,0.000109167673740163
"ENSG00000013583",0.000127945942844898,0.000125461651781856,0.000272906240675595,5.33057293604018e-05,0.000165085574720278,0.00020366186995679,0.000714086447882742,6.06650414960112e-05,0.000374692280718146,0.000245155617992589,0.000202365341390939,0.000126783009037719
"ENSG00000013016",NA,2.37053515891233e-06,NA,NA,NA,4.5589403620552e-06,NA,NA,3.36805404710838e-05,NA,2.28051153354607e-05,NA
"ENSG00000008394",0.000145241742296963,0.000519833843988646,NA,1.4415944777295e-05,NA,0.000107771226894042,NA,NA,0.000561703966915598,NA,NA,6.43705460161108e-05
"ENSG00000020922",NA,NA,2.03939555784733e-05,NA,5.6552442129496e-06,1.99482622022315e-07,5.34356141230091e-06,NA,2.5628934667868e-05,1.5625856224755e-05,NA,2.02529810334614e-06
