"","uterus","kidney","testis","pancreas","stomach","prostate","ovary","thyroid.gland","adrenal.gland","salivary.gland","spleen","esophagus"
"ENSG00000005156",1.79000000008287e-05,6.40000000023745e-06,2.62999999703413e-05,6.29999999342021e-06,9.49999999368158e-06,1.50999999898068e-05,1.34999999846128e-05,1.37999999872504e-05,8.90000000727681e-06,1.14999999906365e-05,1.11000000054528e-05,9.6999999940534e-06
"ENSG00000013374",4.17000000025197e-05,3.62000000389123e-05,7.38000000300707e-05,2.43999999809691e-05,3.94000000158242e-05,3.8200000007766e-05,4.02999999869059e-05,5.47999999388815e-05,3.89999999976204e-05,3.27000000255786e-05,5.36000000379179e-05,3.25000000015809e-05
"ENSG00000004059",8.3299999921976e-05,7.79000000587326e-05,6.55000000012393e-05,7.41000000035271e-05,9.92999998867327e-05,8.47999999498742e-05,6.09999999984877e-05,6.86000000463207e-05,6.10999999658755e-05,6.41999999898217e-05,7.67999999944275e-05,0.000133400000128846
"ENSG00000011638",2.1500000004178e-05,2.03999999799944e-05,1.52000000019329e-05,6.99999999977021e-06,1.8300000011359e-05,2.41000000235915e-05,6.72999999652916e-05,1.77999999873397e-05,2.58000000021844e-05,2.44999999794355e-05,8.59999999517681e-06,5.76999999793096e-05
"ENSG00000005448",1.20999999911833e-05,1.11000000054528e-05,3.44000000339386e-05,3.99999999697935e-06,8.3999999988031e-06,6.29999999342021e-06,1.28999999911113e-05,8.1000000022633e-06,9.49999999368158e-06,4.30000000416256e-06,1.17999999916824e-05,3.89999999976203e-06
"ENSG00000011028",3.73000000164311e-05,1.31999999937434e-05,2.10000000128661e-05,4.19999999615196e-06,1.03000000069923e-05,2.36999999994486e-05,5.44999999652839e-05,1.01000000050549e-05,1.07999999878906e-05,7.59999999508625e-06,2.15999999924933e-05,2.10999999855367e-05
"ENSG00000006744",1.969999999267e-05,2.22999999975271e-05,2.78000000052441e-05,1.3300000001008e-05,2.03999999799944e-05,2.26999999899057e-05,2.18000000198474e-05,2.75999999958553e-05,2.67999999982235e-05,1.8399999999596e-05,3.03000000347233e-05,2.58000000021844e-05
"ENSG00000005022",0.000100700000103503,0.00036529999982175,6.20999999747507e-05,0.000268699999731997,0.000290899999834514,8.47999999498742e-05,7.4700000031752e-05,0.000146000000072467,0.000118399999894521,0.000190999999891051,0.000132900000017525,0.00026059999977404
"ENSG00000006459",1.07000000077557e-05,4.50000000232781e-06,1.20999999911833e-05,3.19999999764285e-06,1.14999999906365e-05,4.10000000264587e-06,3.10000000118296e-06,3.99999999697935e-06,3.30000000092788e-06,4.39999999507425e-06,8.1000000022633e-06,8.79999999695717e-06
"ENSG00000008256",1.58000000016581e-05,1.07999999878906e-05,2.23999999827646e-05,3.39999999966919e-06,9.49999999368158e-06,8.1000000022633e-06,1.31000000103835e-05,2.29999999990683e-05,9.19999999267983e-06,7.49999999323558e-06,8.79999999695717e-06,1.49999999980768e-05
"ENSG00000008294",4.19000000032518e-05,3.72000000101162e-05,8.46999999355026e-05,2.20000000090065e-05,2.44999999794355e-05,2.32000000058281e-05,4.56999999926498e-05,6.18999999971326e-05,3.50999999623518e-05,1.17999999916824e-05,2.88000000159665e-05,4.08999999993086e-05
"ENSG00000011052",0.000100799999974584,4.32999999647688e-05,3.25000000015809e-05,5.40999999867247e-05,4.60000000337273e-05,3.86000000291743e-05,0.000180300000115247,0.000101100000095211,0.000128700000028334,4.55000000359235e-05,5.0699999961086e-05,0.000166400000017355
"ENSG00000013275",4.52000000196308e-05,5.3099999990039e-05,4.18000000216524e-05,1.70999999845593e-05,3.85000000435712e-05,4.0600000039526e-05,3.22999999753747e-05,6.23000000488925e-05,4.24999999950765e-05,2.78000000052441e-05,3.86999999983148e-05,5.33999999964888e-05
"ENSG00000004468",2.00000000154742e-06,NA,1.60000000126762e-06,NA,6.40000000023745e-06,1.97999999880765e-05,NA,1.40000000103724e-06,3.60000000192903e-06,2.6000000001747e-06,2.58000000021844e-05,1.49999999980768e-06
"ENSG00000002834",3.88999999708262e-05,4.32999999647688e-05,2.10999999855367e-05,1.98999999812267e-05,7.57000000871402e-05,2.21000000160238e-05,4.13999999884751e-05,2.31000000057368e-05,2.50999999721985e-05,2.58999999951544e-05,6.13999999800419e-05,2.98999999776639e-05
"ENSG00000009844",2.1500000004178e-05,2.39000000028541e-05,1.70999999845593e-05,8.79999999695717e-06,1.969999999267e-05,1.82000000006255e-05,1.60999999988193e-05,2.52999999897577e-05,2.00000000154742e-05,1.20999999911833e-05,1.82000000006255e-05,3.62000000389123e-05
"ENSG00000012822",8.57000000151554e-05,5.54000000346424e-05,5.01999999832372e-05,3.88000000362536e-05,5.09999999884991e-05,7.1100000044241e-05,8.72000000135395e-05,6.02999999805406e-05,6.10999999658755e-05,8.19000000451807e-05,6.84000000440808e-05,7.69000000351604e-05
"ENSG00000002330",1.98999999812267e-05,3.34000000144919e-05,2.21000000160238e-05,1.35999999884066e-05,4.43999999882819e-05,3.5199999961247e-05,1.76999999852543e-05,1.62000000170607e-05,2.03999999799944e-05,3.5199999961247e-05,1.90000000020637e-05,1.18999999892444e-05
"ENSG00000000457",7.80000000555902e-06,6.80000000459963e-06,7.59999999508625e-06,4.10000000264587e-06,7.69999999694191e-06,8.59999999517681e-06,8.19999999275497e-06,8.19999999275497e-06,6.60000000696225e-06,6.50000000534531e-06,7.40000000458393e-06,7.19999999285017e-06
"ENSG00000005844",4.60000000337273e-06,2.29999999990683e-06,3.19999999764285e-06,1.49999999980768e-06,1.35999999884066e-05,3.10000000118296e-06,1.79999999957183e-06,3.19999999764285e-06,3.80000000335284e-06,6.80000000459963e-06,7.9699999927307e-05,3.19999999764285e-06
"ENSG00000004799",4.42999999772459e-05,8.04000000465687e-05,1.72000000036615e-05,0.000272200000083162,4.02999999869059e-05,2.6000000001747e-05,0.000221000000160238,6.81000000136758e-05,0.000231200000133893,1.24999999997681e-05,9.21999999886146e-05,0.0001725999998493
"ENSG00000010671",3.60000000192903e-06,1e-06,3.49999999717711e-06,NA,1.09000000014902e-05,2.20000000090065e-06,1.19999999986841e-06,1e-06,4.30000000416256e-06,3.69999999942923e-06,5.65999999754633e-05,5.49999999374079e-06
"ENSG00000008710",4.92000000263551e-05,1.44999999921548e-05,3.19999999764285e-05,1.3300000001008e-05,2.08999999946556e-05,3.64999999616359e-05,4.75000000410294e-05,1.07999999878906e-05,2.92999999761097e-05,2.27999999999762e-05,2.58999999951544e-05,1.92999999996545e-05
"ENSG00000011485",2.93999999720986e-05,2.74000000113319e-05,2.08999999946556e-05,1.3300000001008e-05,2.32000000058281e-05,2.54000000222282e-05,2.78000000052441e-05,2.81000000061416e-05,3.11999999986751e-05,2.13999999827935e-05,3.49000000032803e-05,2.55999999816177e-05
"ENSG00000013583",3.19999999764285e-05,5.07999999667896e-05,2.27999999999762e-05,2.96999999783069e-05,2.1200000003478e-05,3.56000000022235e-05,6.48000000193084e-05,0.000102000000055917,6.87999999626908e-05,2.79999999779363e-05,3.64000000294141e-05,3.20999999700747e-05
"ENSG00000013016",4.99999999613144e-06,2.26999999899057e-05,1.90000000020637e-06,NA,1.79999999957183e-06,6.29999999342021e-06,2.90000000067472e-06,2.69999999901158e-06,7.40000000458393e-06,1.90000000020637e-06,6.40000000023745e-06,2.44999999794355e-05
"ENSG00000008394",3.5399999997898e-05,0.00022630000002359,2.15999999924933e-05,4.41999999644714e-05,6.86000000463207e-05,0.000128199999946039,2.69999999901158e-06,0.000226799999884656,0.00061180000049494,8.04000000465687e-05,2.20000000090065e-06,0.000119300000090557
